0.000000000000000e+00,	5.492887913090000e-05,	2.269162984580000e-02,	0.000000000000000e+00,	0.000000000000000e+00
3.333333333333333e-08,	5.492855343016540e-05,	-4.233749327405848e-02,	0.000000000000000e+00,	0.000000000000000e+00
1.923459193375860e-07,	5.489665262305783e-05,	-3.613764584895516e-01,	1.079416193480081e+01,	4.159928942009563e+04
3.973287153754016e-07,	5.477852669025275e-05,	-7.956950762791636e-01,	1.058925158961968e+01,	3.485373018813457e+05
6.023115114132172e-07,	5.456848065765664e-05,	-1.258784371919413e+00,	1.070310600424870e+01,	7.773491971252713e+05
7.856639327772729e-07,	5.429761640440205e-05,	-1.700360455167919e+00,	1.092189351253722e+01,	1.259729856838227e+06
9.699630024111886e-07,	5.394111558013341e-05,	-2.173566726491213e+00,	1.127559026819175e+01,	1.765507316003942e+06
1.154262072045104e-06,	5.349439721027249e-05,	-2.680115967422512e+00,	1.174067835307721e+01,	2.365463481819704e+06
1.310376698327356e-06,	5.304056349162476e-05,	-3.138830453792032e+00,	1.260635235967934e+01,	3.157946253448301e+06
1.470176001189495e-06,	5.249936223295038e-05,	-3.640444026493237e+00,	1.299140857299651e+01,	3.844022968667672e+06
1.612791732398068e-06,	5.194640682389212e-05,	-4.119268992840644e+00,	1.370501459726828e+01,	4.751709011458600e+06
1.756595706479439e-06,	5.131731685203728e-05,	-4.636079281103470e+00,	1.440096659566906e+01,	5.709870883426460e+06
1.883850932708781e-06,	5.069653125533657e-05,	-5.125906569710821e+00,	1.495645715092829e+01,	6.755937894810039e+06
2.012544169168171e-06,	5.000310918673936e-05,	-5.656820768475214e+00,	1.599605174004467e+01,	8.086772869208685e+06
2.125953919953840e-06,	4.933344036509070e-05,	-6.158569983021597e+00,	1.735343065797759e+01,	9.815914304822387e+06
2.240788265450889e-06,	4.859530476353458e-05,	-6.703751817225339e+00,	1.842926736361186e+01,	1.150314390752818e+07
2.341826699376638e-06,	4.789224663445457e-05,	-7.218811894128337e+00,	2.025327470424389e+01,	1.396975775375953e+07
2.444196876302872e-06,	4.712491506433880e-05,	-7.779467538771044e+00,	2.145310262274305e+01,	1.616816115989013e+07
2.534243009402669e-06,	4.640081339828360e-05,	-8.309625782253068e+00,	2.323231941394807e+01,	1.917616981212751e+07
2.625468687179862e-06,	4.561674397895993e-05,	-8.887332037480828e+00,	2.527760437808043e+01,	2.263402488774691e+07
2.705776906639885e-06,	4.488130066276582e-05,	-9.434676412495712e+00,	2.704402027545558e+01,	2.634440414326756e+07
2.787111228541643e-06,	4.408997410965088e-05,	-1.003158264114914e+01,	3.011621624191098e+01,	3.165424695979252e+07
2.858781394712416e-06,	4.335094560880222e-05,	-1.059828144760742e+01,	3.360351887061890e+01,	3.822824614794237e+07
2.931327945542804e-06,	4.255993931236287e-05,	-1.121660705958424e+01,	3.471365434924917e+01,	4.243333953868847e+07
2.995335222754796e-06,	4.182339448730694e-05,	-1.180498088294680e+01,	3.792524610912033e+01,	4.997570369190592e+07
3.060095106903478e-06,	4.103838060824182e-05,	-1.244729408212929e+01,	4.192710590409969e+01,	5.917127121584974e+07
3.117295266207477e-06,	4.030909351111833e-05,	-1.305975220124848e+01,	4.593442261383343e+01,	6.966152882898687e+07
3.175141044101594e-06,	3.953455240054089e-05,	-1.372866191532292e+01,	5.126443320806926e+01,	8.304587577120432e+07
3.226289125853112e-06,	3.881621843932611e-05,	-1.436773050267628e+01,	5.449755666153433e+01,	9.462337185928568e+07
